id,category,item,source_name,priority,url,verify_use,rounds,fallback,notes
ticket_labrang_ctrip,ticket,拉卜楞寺,携程拉卜楞寺,A,https://you.ctrip.com/sight/xiahe2799/14115.html,核验门票/开放/用户点评中的近期变化,T-14|T-7|T-1,景区现场/酒店前台,OTA不是唯一权威
ticket_labrang_eztravel,ticket,拉卜楞寺,EZ Travel 拉卜楞寺,B,https://vacation.eztravel.com.tw/sight/PLC0000078341,辅助核验景点基础信息,T-14|T-7,携程/酒店前台,仅作补充
ticket_sangke_ctrip,ticket,桑科草原,携程桑科草原,B,https://you.ctrip.com/sight/xiahe2799/14116.html,核验经营区/骑马/停车等收费提示,T-7|T-1,酒店/司机当地确认,草原开放区和经营区要区分
ticket_ganjia_ctrip,ticket,甘加秘境,携程甘加秘境,A,https://you.ctrip.com/sight/xiahe2799/5681108.html,核验票务组合/预约/观光车,T-14|T-7|T-1,甘南文旅/酒店前台,票务组合可能变化
official_gannan_culture,ticket,甘南景区公告,甘南文旅,A,https://www.gn.gansu.gov.cn/,核验甘南州景区公告/文旅通知,T-7|T-3|T-1,酒店前台/司机当地消息,官方公告优先级高于游记
ticket_milarepa_ctrip,ticket,米拉日巴佛阁,携程米拉日巴佛阁,B,https://you.ctrip.com/sight/hezuo2786/14117.html,核验门票/开放时间/内部限制,T-7|T-1,现场售票处,蓝调外观比入内更重要
ticket_zhagana_ctrip,ticket,扎尕那,携程扎尕那,A,https://you.ctrip.com/sight/diebu2801/140717.html,核验门票/预约/近期评价,T-14|T-7|T-3|T-1,甘南文旅/酒店前台/景区电话,公开口径冲突必须多源确认
ticket_zhagana_qunar,ticket,扎尕那,去哪儿扎尕那,A,https://piao.qunar.com/ticket/detail_335936.html,核验票价/组合/可预约日期,T-14|T-7|T-3|T-1,携程/官方/酒店前台,与携程交叉验证
ticket_langmusi_ctrip,ticket,郎木寺,携程郎木寺,B,https://you.ctrip.com/sight/luqu2800/14123.html,核验开放/票价/近期评价,T-7|T-1,现场/酒店前台,甘肃侧和四川侧可能分别购票
ticket_langmusi_qunar,ticket,郎木寺,去哪儿郎木寺,B,https://piao.qunar.com/ticket/detail_43315.html,核验票价和开放口径,T-7|T-1,携程/现场,辅助源
ticket_flower_lake_ctrip,ticket,若尔盖花湖,携程若尔盖花湖,A,https://you.ctrip.com/sight/zoige3162/64619.html,核验门票/观光车/栈道开放,T-7|T-3|T-1,景区电话/司机当地确认,天气影响强
ticket_flower_lake_qunar,ticket,若尔盖花湖,去哪儿若尔盖花湖,B,https://piao.qunar.com/ticket/detail_24984.html,核验票价/组合/预约,T-7|T-1,携程/现场,辅助源
ticket_yellow_river_ctrip,ticket,黄河九曲第一湾,携程黄河九曲第一湾,A,https://you.ctrip.com/sight/zoige3162/64622.html,核验门票/扶梯组合/闭园,T-7|T-3|T-1,现场/司机当地确认,日落下撤时间比票价更关键
